dataset,variable,dtype,role,anomaly_model_allowed,downstream_model_allowed,missing_cells,unique_values
Android / CICMalDroid2020 structure,inotify_add_watch,float64,Modeling feature,True,True,0,48
Android / CICMalDroid2020 structure,inotify_init,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,inotify_rm_watch,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,ioctl,float64,Modeling feature,True,True,0,2979
Android / CICMalDroid2020 structure,isActiveNetworkMetered,float64,Modeling feature,True,True,0,14
Android / CICMalDroid2020 structure,isAdminActive,float64,Modeling feature,True,True,0,76
Android / CICMalDroid2020 structure,isBluetoothA2dpOn,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,isBluetoothScoOn,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,isCameraSoundForced,float64,Modeling feature,True,True,0,12
Android / CICMalDroid2020 structure,isImsSmsSupported,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,isKeyguardLocked,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,isKeyguardSecure,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,isPackageAvailable,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,isProviderEnabled,float64,Modeling feature,True,True,0,21
Android / CICMalDroid2020 structure,isSafeMode,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,isScanAlwaysAvailable,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,isScreenOn,float64,Modeling feature,True,True,0,84
Android / CICMalDroid2020 structure,isSpeakerphoneOn,float64,Modeling feature,True,True,0,19
Android / CICMalDroid2020 structure,isSpellCheckerEnabled,float64,Modeling feature,True,True,0,60
Android / CICMalDroid2020 structure,isSyncActive,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,isWakeLockLevelSupported,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,lgetxattr,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,link,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,listen,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,locationCallbackFinished,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,lseek,float64,Modeling feature,True,True,0,417
Android / CICMalDroid2020 structure,lstat64,float64,Modeling feature,True,True,0,327
Android / CICMalDroid2020 structure,madvise,float64,Modeling feature,True,True,0,1278
Android / CICMalDroid2020 structure,mkdir,float64,Modeling feature,True,True,0,111
Android / CICMalDroid2020 structure,mknod,float64,Modeling feature,True,True,0,8
Android / CICMalDroid2020 structure,mlock,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,mmap2,float64,Modeling feature,True,True,0,1229
Android / CICMalDroid2020 structure,mount,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,mprotect,float64,Modeling feature,True,True,0,1902
Android / CICMalDroid2020 structure,mremap,float64,Modeling feature,True,True,0,14
Android / CICMalDroid2020 structure,msync,float64,Modeling feature,True,True,0,14
Android / CICMalDroid2020 structure,munlock,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,munmap,float64,Modeling feature,True,True,0,847
Android / CICMalDroid2020 structure,nanosleep,float64,Modeling feature,True,True,0,1300
Android / CICMalDroid2020 structure,notifyAppWidgetViewDataChanged,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,notifyChange,float64,Modeling feature,True,True,0,50
Android / CICMalDroid2020 structure,onChange,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,onClose,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,onFinished,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,onGetSentenceSuggestionsMultiple,float64,Modeling feature,True,True,0,17
Android / CICMalDroid2020 structure,onRectangleOnScreenRequested,float64,Modeling feature,True,True,0,63
Android / CICMalDroid2020 structure,onRequestContinued,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,onResult,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,open,float64,Modeling feature,True,True,0,1593
Android / CICMalDroid2020 structure,openSession,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,partiallyUpdateAppWidgetIds,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,performDeferredDestroy,float64,Modeling feature,True,True,0,19
Android / CICMalDroid2020 structure,pingSupplicant,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,pipe,float64,Modeling feature,True,True,0,128
Android / CICMalDroid2020 structure,pipe2,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,play,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,playSoundEffect,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,playSoundEffectVolume,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,poll,float64,Modeling feature,True,True,0,139
Android / CICMalDroid2020 structure,prctl,float64,Modeling feature,True,True,0,432
Android / CICMalDroid2020 structure,pread64,float64,Modeling feature,True,True,0,822
Android / CICMalDroid2020 structure,prepareVpn,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,ptrace,float64,Modeling feature,True,True,0,18
Android / CICMalDroid2020 structure,pwrite64,float64,Modeling feature,True,True,0,823
Android / CICMalDroid2020 structure,queryContentProviders,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,queryIntentActivities,float64,Modeling feature,True,True,0,60
Android / CICMalDroid2020 structure,queryIntentContentProviders,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,queryIntentReceivers,float64,Modeling feature,True,True,0,30
Android / CICMalDroid2020 structure,queryIntentServices,float64,Modeling feature,True,True,0,36
Android / CICMalDroid2020 structure,read,float64,Modeling feature,True,True,267,3921
Android / CICMalDroid2020 structure,readlink,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,reassociate,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,recvfrom,float64,Modeling feature,True,True,0,1985
Android / CICMalDroid2020 structure,recvmsg,float64,Modeling feature,True,True,0,122
Android / CICMalDroid2020 structure,reenableKeyguard,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,registerCallback,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,registerContentObserver,float64,Modeling feature,True,True,0,62
Android / CICMalDroid2020 structure,registerInputDevicesChangedListener,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,registerMediaButtonIntent,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,registerRemoteControlClient,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,registerSuggestionSpansForNotification,float64,Constant feature — excluded from modeling,False,False,0,1
Android / CICMalDroid2020 structure,relayout,float64,Modeling feature,True,True,0,88
Android / CICMalDroid2020 structure,releaseMulticastLock,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,releaseWakeLock,float64,Modeling feature,True,True,0,34
Android / CICMalDroid2020 structure,releaseWifiLock,float64,Modeling feature,True,True,0,8
Android / CICMalDroid2020 structure,remove,float64,Modeling feature,True,True,0,37
Android / CICMalDroid2020 structure,removeAccessibilityInteractionConnection,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,removeActiveAdmin,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,removeGpsStatusListener,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,removePrimaryClipChangedListener,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,removeStatusChangeListener,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,rename,float64,Modeling feature,True,True,0,137
Android / CICMalDroid2020 structure,requestLocationUpdates,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,requestScanFile,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,resolveContentProvider,float64,Modeling feature,True,True,0,17
Android / CICMalDroid2020 structure,resolveIntent,float64,Modeling feature,True,True,0,39
Android / CICMalDroid2020 structure,resolveService,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,restorePackage,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,rmdir,float64,Modeling feature,True,True,0,13
Android / CICMalDroid2020 structure,rt_sigprocmask,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,rt_sigtimedwait,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,sched_get_priority_max,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,sched_get_priority_min,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,sched_getparam,float64,Modeling feature,True,True,0,84
Android / CICMalDroid2020 structure,sched_getscheduler,float64,Modeling feature,True,True,0,84
Android / CICMalDroid2020 structure,sched_setaffinity,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,sched_setscheduler,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,sched_yield,float64,Modeling feature,True,True,322,854
Android / CICMalDroid2020 structure,send,float64,Modeling feature,True,True,0,13
Android / CICMalDroid2020 structure,sendAccessibilityEvent,float64,Modeling feature,True,True,0,74
Android / CICMalDroid2020 structure,sendExtraCommand,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,sendMultipartText,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,sendText,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,sendmsg,float64,Modeling feature,True,True,0,122
Android / CICMalDroid2020 structure,sendto,float64,Modeling feature,True,True,0,226
Android / CICMalDroid2020 structure,set,float64,Modeling feature,True,True,0,35
Android / CICMalDroid2020 structure,setApplicationEnabledSetting,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setCallback,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,setComponentEnabledSetting,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,setDimensionHints,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setDiscoveryRequest,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,setExtractedText,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setFlashlightEnabled,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setIconVisibility,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setInTouchMode,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setIsSyncable,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setMetadata,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setMobileDataEnabled,float64,Modeling feature,True,True,0,13
Android / CICMalDroid2020 structure,setMode,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,setNetworkPreference,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setNightMode,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setPlaybackState,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setPlaybackStateForRcc,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setPrimaryClip,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setRadio,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setRingerMode,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,setSpeakerphoneOn,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setStreamMute,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,setStreamVolume,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,setSyncAutomatically,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setTextAfterCursor,float64,Modeling feature,True,True,0,27
Android / CICMalDroid2020 structure,setTextBeforeCursor,float64,Modeling feature,True,True,0,40
Android / CICMalDroid2020 structure,setTransparentRegion,float64,Modeling feature,True,True,0,8
Android / CICMalDroid2020 structure,setTransportControlInfo,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setWallpaper,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setWallpaperPosition,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setWifiApConfiguration,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setWifiApEnabled,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setWifiEnabled,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,setgid32,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setgroups32,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,setitimer,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,setpgid,float64,Modeling feature,True,True,0,10
Android / CICMalDroid2020 structure,setpriority,float64,Modeling feature,True,True,0,244
Android / CICMalDroid2020 structure,setresgid32,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setresuid32,float64,Modeling feature,True,True,0,6
Android / CICMalDroid2020 structure,setrlimit,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,setsid,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,setsockopt,float64,Modeling feature,True,True,0,341
Android / CICMalDroid2020 structure,setuid32,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,showSoftInput,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,showStrictModeViolation,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,shutdown,float64,Modeling feature,True,True,0,59
Android / CICMalDroid2020 structure,sigaction,float64,Modeling feature,True,True,0,177
Android / CICMalDroid2020 structure,sigaltstack,float64,Modeling feature,True,True,0,299
Android / CICMalDroid2020 structure,sigprocmask,float64,Modeling feature,True,True,0,886
Android / CICMalDroid2020 structure,sigsuspend,float64,Modeling feature,True,True,0,17
Android / CICMalDroid2020 structure,socket,float64,Modeling feature,True,True,0,237
Android / CICMalDroid2020 structure,socketpair,float64,Modeling feature,True,True,0,14
Android / CICMalDroid2020 structure,startBluetoothSco,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,startInput,float64,Modeling feature,True,True,0,5
Android / CICMalDroid2020 structure,startScan,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,startWatchingRoutes,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,startWifiDisplayScan,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,stat64,float64,Modeling feature,True,True,0,925
Android / CICMalDroid2020 structure,statfs64,float64,Modeling feature,True,True,0,62
Android / CICMalDroid2020 structure,statusBarVisibilityChanged,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,stop,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,stopListening,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,stopUsingNetworkFeature,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,symlink,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,sync,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,sysinfo,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,timer_create,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,timer_settime,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,toggleSoftInput,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,truncate,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,ugetrlimit,float64,Modeling feature,True,True,0,41
Android / CICMalDroid2020 structure,umask,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,uname,float64,Modeling feature,True,True,0,11
Android / CICMalDroid2020 structure,unlink,float64,Modeling feature,True,True,0,145
Android / CICMalDroid2020 structure,unregisterContentObserver,float64,Modeling feature,True,True,0,47
Android / CICMalDroid2020 structure,unregisterMediaButtonIntent,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,unregisterRemoteControlClient,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,updateAppWidgetIds,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,updateAppWidgetProvider,float64,Modeling feature,True,True,0,7
Android / CICMalDroid2020 structure,updateSelection,float64,Modeling feature,True,True,0,35
Android / CICMalDroid2020 structure,updateServiceLocation,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,utimes,float64,Modeling feature,True,True,0,29
Android / CICMalDroid2020 structure,vfork,float64,Modeling feature,True,True,0,15
Android / CICMalDroid2020 structure,vibrate,float64,Modeling feature,True,True,0,4
Android / CICMalDroid2020 structure,vibratePattern,float64,Modeling feature,True,True,0,3
Android / CICMalDroid2020 structure,wait4,float64,Modeling feature,True,True,0,133
Android / CICMalDroid2020 structure,watchRotation,float64,Modeling feature,True,True,0,2
Android / CICMalDroid2020 structure,windowGainedFocus,float64,Modeling feature,True,True,0,25
Android / CICMalDroid2020 structure,write,float64,Modeling feature,True,True,0,3424
Android / CICMalDroid2020 structure,writev,float64,Modeling feature,True,True,335,1976
Android / CICMalDroid2020 structure,Class,str,Observed class label / downstream target,False,True,0,5
Android / CICMalDroid2020 structure,attack_type,str,Attack mechanism metadata,False,False,0,8
Android / CICMalDroid2020 structure,original_label,str,Reference/original label,False,False,0,5
Android / CICMalDroid2020 structure,source_index,int64,Source/provenance metadata,False,False,0,784
Android / CICMalDroid2020 structure,poisoned,int64,Evaluation target,False,False,0,2
